10-03-2024 00:02:24.810 +07:00 [ERR] Error: Unexpected character encountered while parsing value: x. Path '', line 0, position 0.
10-03-2024 00:02:26.274 +07:00 [ERR] Error: Unexpected character encountered while parsing value: x. Path '', line 0, position 0.
10-03-2024 00:02:26.781 +07:00 [ERR] Error: Unexpected character encountered while parsing value: x. Path '', line 0, position 0.
10-03-2024 00:02:27.281 +07:00 [ERR] Error: Unexpected character encountered while parsing value: x. Path '', line 0, position 0.
10-03-2024 00:02:27.787 +07:00 [ERR] Error: Unexpected character encountered while parsing value: x. Path '', line 0, position 0.
10-03-2024 00:02:28.288 +07:00 [ERR] Error: Unexpected character encountered while parsing value: x. Path '', line 0, position 0.
10-03-2024 00:02:28.794 +07:00 [ERR] Error: Unexpected character encountered while parsing value: x. Path '', line 0, position 0.
10-03-2024 00:02:29.301 +07:00 [ERR] Error: Unexpected character encountered while parsing value: x. Path '', line 0, position 0.
10-03-2024 00:02:29.801 +07:00 [ERR] Error: Unexpected character encountered while parsing value: x. Path '', line 0, position 0.
10-03-2024 00:02:30.308 +07:00 [ERR] Error: Unexpected character encountered while parsing value: x. Path '', line 0, position 0.
10-03-2024 00:02:30.808 +07:00 [ERR] Error: Unexpected character encountered while parsing value: x. Path '', line 0, position 0.
10-03-2024 00:02:31.308 +07:00 [ERR] Error: Unexpected character encountered while parsing value: x. Path '', line 0, position 0.
10-03-2024 00:02:31.808 +07:00 [ERR] Error: Unexpected character encountered while parsing value: x. Path '', line 0, position 0.
10-03-2024 00:02:32.315 +07:00 [ERR] Error: Unexpected character encountered while parsing value: x. Path '', line 0, position 0.
10-03-2024 00:02:32.815 +07:00 [ERR] Error: Unexpected character encountered while parsing value: x. Path '', line 0, position 0.
10-03-2024 00:02:33.322 +07:00 [ERR] Error: Unexpected character encountered while parsing value: x. Path '', line 0, position 0.
10-03-2024 00:02:33.829 +07:00 [ERR] Error: Unexpected character encountered while parsing value: x. Path '', line 0, position 0.
10-03-2024 00:02:58.003 +07:00 [ERR] Error: Unexpected character encountered while parsing value: x. Path '', line 0, position 0.
10-03-2024 00:02:59.516 +07:00 [ERR] Error: Unexpected character encountered while parsing value: x. Path '', line 0, position 0.
10-03-2024 00:03:00.017 +07:00 [ERR] Error: Unexpected character encountered while parsing value: x. Path '', line 0, position 0.
10-03-2024 00:03:00.524 +07:00 [ERR] Error: Unexpected character encountered while parsing value: x. Path '', line 0, position 0.
10-03-2024 00:03:01.024 +07:00 [ERR] Error: Unexpected character encountered while parsing value: x. Path '', line 0, position 0.
10-03-2024 00:03:01.531 +07:00 [ERR] Error: Unexpected character encountered while parsing value: x. Path '', line 0, position 0.
10-03-2024 00:03:02.038 +07:00 [ERR] Error: Unexpected character encountered while parsing value: x. Path '', line 0, position 0.
10-03-2024 00:03:02.537 +07:00 [ERR] Error: Unexpected character encountered while parsing value: x. Path '', line 0, position 0.
10-03-2024 00:03:03.044 +07:00 [ERR] Error: Unexpected character encountered while parsing value: x. Path '', line 0, position 0.
10-03-2024 00:03:03.544 +07:00 [ERR] Error: Unexpected character encountered while parsing value: x. Path '', line 0, position 0.
10-03-2024 00:03:04.051 +07:00 [ERR] Error: Unexpected character encountered while parsing value: x. Path '', line 0, position 0.
10-03-2024 00:03:04.551 +07:00 [ERR] Error: Unexpected character encountered while parsing value: x. Path '', line 0, position 0.
