21-03-2024 19:36:37.557 +07:00 [ERR] Error: Unexpected character encountered while parsing value: �. Path '', line 0, position 0.
21-03-2024 19:38:33.593 +07:00 [ERR] Error: Unexpected character encountered while parsing value: �. Path '', line 0, position 0.
21-03-2024 19:44:35.667 +07:00 [ERR] Error: Unexpected character encountered while parsing value: �. Path '', line 0, position 0.
21-03-2024 19:47:21.045 +07:00 [ERR] Error: Unexpected character encountered while parsing value: �. Path '', line 0, position 0.
21-03-2024 19:49:23.150 +07:00 [ERR] Error: Unexpected character encountered while parsing value: �. Path '', line 0, position 0.
21-03-2024 19:49:23.180 +07:00 [ERR] Error: Unexpected character encountered while parsing value: �. Path '', line 0, position 0.
21-03-2024 19:49:23.192 +07:00 [ERR] Error: Unexpected character encountered while parsing value: �. Path '', line 0, position 0.
21-03-2024 19:49:23.203 +07:00 [ERR] Error: Unexpected character encountered while parsing value: �. Path '', line 0, position 0.
21-03-2024 19:49:23.214 +07:00 [ERR] Error: Unexpected character encountered while parsing value: �. Path '', line 0, position 0.
21-03-2024 19:51:04.625 +07:00 [ERR] Error: Unexpected character encountered while parsing value: �. Path '', line 0, position 0.
21-03-2024 19:51:04.652 +07:00 [ERR] Error: Unexpected character encountered while parsing value: �. Path '', line 0, position 0.
21-03-2024 19:51:04.665 +07:00 [ERR] Error: Unexpected character encountered while parsing value: �. Path '', line 0, position 0.
21-03-2024 19:51:04.678 +07:00 [ERR] Error: Unexpected character encountered while parsing value: �. Path '', line 0, position 0.
21-03-2024 19:51:04.689 +07:00 [ERR] Error: Unexpected character encountered while parsing value: �. Path '', line 0, position 0.
21-03-2024 19:52:04.705 +07:00 [ERR] Error: Unexpected character encountered while parsing value: . Path '', line 0, position 0.
21-03-2024 19:52:04.735 +07:00 [ERR] Error: Unexpected character encountered while parsing value: . Path '', line 0, position 0.
21-03-2024 19:52:04.748 +07:00 [ERR] Error: Unexpected character encountered while parsing value: . Path '', line 0, position 0.
21-03-2024 19:52:04.759 +07:00 [ERR] Error: Unexpected character encountered while parsing value: . Path '', line 0, position 0.
21-03-2024 19:52:04.771 +07:00 [ERR] Error: Unexpected character encountered while parsing value: . Path '', line 0, position 0.
21-03-2024 19:55:29.452 +07:00 [ERR] Error: Unexpected character encountered while parsing value: �. Path '', line 0, position 0.
21-03-2024 19:55:29.481 +07:00 [ERR] Error: Unexpected character encountered while parsing value: �. Path '', line 0, position 0.
21-03-2024 19:55:29.493 +07:00 [ERR] Error: Unexpected character encountered while parsing value: �. Path '', line 0, position 0.
21-03-2024 19:55:29.505 +07:00 [ERR] Error: Unexpected character encountered while parsing value: �. Path '', line 0, position 0.
21-03-2024 19:55:29.516 +07:00 [ERR] Error: Unexpected character encountered while parsing value: �. Path '', line 0, position 0.
21-03-2024 20:31:24.077 +07:00 [ERR] Error: Unexpected character encountered while parsing value: H. Path '', line 0, position 0.
